PARK,OWNER,lat,max_MW,lon
Reigerweg,Romme,52.41509,12.57,5.408179
,RWE - Essent,52.6330626,7.5,5.638600676
,RWE - Essent,52.63657567,7.5,5.634927188
,RWE - Essent,52.64359253,7.5,5.627548851
Borssele,SBWN,51.443479,6.64,3.695032
Lepelaarweg,Schermer-Grrr,52.3969,11.4,5.478443
,Schuijt,52.7724,2,4.724548
,Siemens,52.042635,1.5,4.517501
Windkracht 8,Slabbekoorn-Holtrop,52.892019,0.8,5.028559
Sterappellaan,Smits-Grr,52.37347,10.95,5.478073
L. Soet,Soet,52.846638,0.8,4.751477
Sortiva,Sortiva b.v. 1,52.603797,4.6,4.760585
Spoorwind,Spoorwind-1,52.591315,6,6.22015
Joarum,St Wiek,53.123625,0.3,5.569705
,Standhart-4,51.930554,2.5,4.165366
,Standhart-8,51.923135,2.5,4.173472
,Standhart-9,51.921139,2.5,4.17544
,Suikerunie (Raedthuys Pure Energie),51.62647101,12.8,4.419787384
Dronten-Overijsselsetocht,SVDW-1,52.532815,12.6,5.590393
WF Swingma (Blanksma),Swingma,53.19747355,0.9,5.441019779
,Testfield Lelystad 2 BV,52.52191835,3,5.589090261
TSL North,TSL North,52.54793591,3,5.556889378
,v.d. Veek,52.764316,2,4.679152
Tacowind,v.d. Werf,52.863,0.9,5.641996
Molenwind,v.d.Oord,52.813284,0.85,4.967742
Appelvinkweg,v.Deursen,52.373607,5.45,5.484677
Lelystad-Knarweg,Verhoef,52.405009,3.6,5.51425
Schollevaarweg,Vermue,52.373288,20.4,5.50533
WP Vermue Startenhuizen Repowering,Vermue,53.3738,0.85,6.7035
Liesbeth Thijs,Visser,52.625315,5.95,4.983651
Ibisweg,Voeten,52.397274,4.25,5.355406
Gaastra Heidenskip,VOF Catharina Wynfang,52.97353305,0.04,5.467592839
VOF F & B Windkracht,VOF F & B Windkracht,53.27796248,0.85,6.027639172
Miedema Workum,VOF Heemstede Wynfang,52.96152159,0.04,5.425007422
Dijkstra Workum,VOF Westerein Wyn,52.96450833,0.04,5.439952818
WP Kerkmeerweg,VOF Windpark Kerkmeerweg,52.711991,2.5,4.772926
,Vogelaar-1,52.554571,1.75,5.54106
,Vogelaar-2,52.556758,1.75,5.544669
Vursteentocht,Vuursteentocht-Z,52.561707,8,5.586937
W.A.P.,W.A.-polder-1,51.45514,9,3.927438
Wagendorp,Wagendorp,52.80205,3,5.080025
Boekelermeer,WCI,52.605194,2.3,4.758585
Nauerna,WCI,52.432212,2,4.748268
Trompet,WCI,52.507535,2,4.703472
,WCI,52.413961,2,4.868366
,WCI,52.426447,2,4.813349
Echteld,WEOM,51.919532,8,5.507662
Hoofdplaatpolder,WEOM-5,51.372804,10,3.612763
Westeinde,Westeinde bv,52.856416,6.3,4.762678
Amsterdam-Noordzeeweg,WGH,52.400295,5.28,4.801595
Amsterdam-Westpoort,WGH,52.422737,12,4.792036
Amsterdam-Hemweg,WGH-0,52.415219,5.28,4.825242
Amsterdam-Sloterdijk,WGH-1,52.392431,2.64,4.773011
,Wilde Wind-O,51.867799,2,4.305843
,Wilde Wind-W,51.867538,10,4.300685
,Windkr-acht B.V.,52.5735732,3,5.874384676
,Windkr-acht B.V.,52.57712044,3,5.871045105
Wp Neer,Windpark Neer,51.307073,9.2,5.925961
Windpark Niedorp,Windpark Nieuwe Niedorp,52.71953834,2.3,4.888594407
WP Sternweg,Windpark Sternweg B.V.,52.38361189,27,5.546624167
,Windpowercentre,53.197285,1.3,5.43068
De Amstelvogel,Windvogel,52.288245,2,4.941873
De Volhouder,Windvogel,51.5281,0.075,4.255435
,Winvast,52.634641,3.3,6.719667
,Winvast,51.945815,3,4.121239
Wisse Wind,Wisse Wind,51.6383,11.5,4.101971
W3,Wit,52.814187,0.8,4.830815
Noordpolder,WNW,53.211858,12.2,5.632419
